N,Iterative,Dynamic Programming,Recursive
1,1.1920928955078125e-06,9.5367431640625e-07,0
2,2.1457672119140625e-06,1.621246337890625e-05,4.0531158447265625e-06
3,9.5367431640625e-07,1.0967254638671875e-05,2.86102294921875e-06
4,1.1920928955078125e-06,1.1205673217773438e-05,4.0531158447265625e-06
5,9.5367431640625e-07,1.9073486328125e-06,5.9604644775390625e-06
6,9.5367431640625e-07,9.5367431640625e-07,1.2874603271484375e-05
7,1.1920928955078125e-06,9.5367431640625e-07,2.002716064453125e-05
8,9.5367431640625e-07,9.5367431640625e-07,3.790855407714844e-05
9,9.5367431640625e-07,2.1457672119140625e-06,5.412101745605469e-05
10,1.1920928955078125e-06,1.0013580322265625e-05,6.890296936035156e-05
11,0.0,9.5367431640625e-07,8.20159912109375e-05
12,1.1920928955078125e-06,1.9073486328125e-06,0.0001361370086669922
13,9.5367431640625e-07,2.1457672119140625e-06,0.00039315223693847656
14,7.152557373046875e-07,7.867813110351562e-06,0.00047206878662109375
15,9.5367431640625e-07,1.9073486328125e-06,0.0008780956268310547
16,9.5367431640625e-07,1.6927719116210938e-05,0.0011110305786132812
17,1.1920928955078125e-06,2.1457672119140625e-06,0.0013952255249023438
18,9.5367431640625e-07,1.0967254638671875e-05,0.0022592544555664062
19,1.1920928955078125e-06,3.0994415283203125e-06,0.003718852996826172
20,9.5367431640625e-07,8.821487426757812e-06,0.006916046142578125
21,1.6689300537109375e-06,1.9073486328125e-06,0.010946035385131836
22,1.1920928955078125e-06,3.0994415283203125e-06,0.01690816879272461
23,9.5367431640625e-07,2.86102294921875e-06,0.03233695030212402
24,2.1457672119140625e-06,1.811981201171875e-05,0.04691886901855469
25,1.9073486328125e-06,2.86102294921875e-06,0.07357430458068848
26,2.1457672119140625e-06,2.7179718017578125e-05,0.12831711769104004
27,1.9073486328125e-06,1.8835067749023438e-05,0.19426393508911133
28,8.821487426757812e-06,4.291534423828125e-06,0.3204989433288574
29,3.0994415283203125e-06,1.0967254638671875e-05,0.5167279243469238
30,4.0531158447265625e-06,3.0994415283203125e-06,0.848642110824585
31,3.814697265625e-06,3.0994415283203125e-06,1.340763807296753
32,5.245208740234375e-06,1.9073486328125e-05,2.3085482120513916
33,3.814697265625e-06,4.0531158447265625e-06,3.5504071712493896
34,5.245208740234375e-06,1.2636184692382812e-05,5.970300197601318
35,4.76837158203125e-06,4.291534423828125e-06,9.4778733253479
36,5.0067901611328125e-06,2.09808349609375e-05,15.338347911834717
37,2.002716064453125e-05,4.0531158447265625e-06,24.612709045410156
38,5.0067901611328125e-06,4.76837158203125e-06,40.01042580604553
39,5.0067901611328125e-06,4.0531158447265625e-06,64.90412497520447
40,5.0067901611328125e-06,2.09808349609375e-05,110.56338214874268
